fecha,valor,max_abs,min_abs,completo_mediciones,completo_umbral
2019/01/01,1.539813,1.792976,1.274850,100.0,100.0
2019/01/02,1.624846,2.252529,1.255459,100.0,100.0
2019/01/03,1.586828,1.756188,1.348612,100.0,100.0
2019/01/04,1.532655,1.756188,1.346431,100.0,100.0
2019/01/05,1.487210,1.667139,1.322487,100.0,100.0
2019/01/06,1.483744,1.673957,1.309462,100.0,100.0
2019/01/07,1.488758,1.637655,1.307294,100.0,100.0
2019/01/08,1.453687,1.576747,1.370457,100.0,100.0
2019/01/09,1.359505,1.527449,1.255459,100.0,100.0
2019/01/10,1.333117,1.370457,1.251158,100.0,100.0
2019/01/11,1.374805,2.397836,1.261917,100.0,100.0
2019/01/12,1.507134,2.080519,1.242564,100.0,100.0
2019/01/13,1.650613,1.818352,1.405548,100.0,100.0
2019/01/14,1.525634,1.760778,1.361711,100.0,100.0
2019/01/15,1.611451,2.293522,1.348612,100.0,100.0
2019/01/16,1.471802,1.692165,1.302959,100.0,100.0
2019/01/17,1.388167,1.576747,1.274850,100.0,100.0
2019/01/18,1.284583,1.322487,1.238272,100.0,100.0
2019/01/19,1.350540,1.460716,1.229695,100.0,100.0
2019/01/20,1.452155,2.068672,1.333360,100.0,100.0
2019/01/21,1.342646,1.409946,1.251158,100.0,100.0
2019/01/22,1.263038,1.322487,1.178477,100.0,100.0
2019/01/23,1.219032,1.383596,1.125576,100.0,100.0
2019/01/24,1.258020,1.615045,1.163618,100.0,100.0
2019/01/25,1.330881,2.101876,1.125576,100.0,100.0
2019/01/26,1.267615,1.829910,1.104548,100.0,100.0
2019/01/27,1.452543,1.813733,1.123470,100.0,100.0
2019/01/28,1.340375,1.552060,1.142453,100.0,100.0
2019/01/29,1.458217,2.264571,1.206168,100.0,100.0
2019/01/30,1.386629,1.871632,1.236126,100.0,100.0
2019/01/31,1.305509,1.572253,1.195503,100.0,100.0
2019/02/01,1.408984,1.594747,1.218990,100.0,100.0
2019/02/02,1.417463,1.597000,1.223270,100.0,100.0
2019/02/03,1.407163,1.976718,1.261917,100.0,100.0
2019/02/04,1.312113,1.352975,1.268380,100.0,100.0
2019/02/05,1.475203,1.699002,1.270536,100.0,100.0
2019/02/06,1.633711,2.250123,1.225411,100.0,100.0
2019/02/07,1.422812,1.979066,1.223270,100.0,100.0
2019/02/08,1.332439,1.899547,1.272693,100.0,100.0
2019/02/09,1.306867,1.331184,1.277008,100.0,100.0
2019/02/10,1.305593,1.359526,1.268380,100.0,100.0
2019/02/11,1.318561,1.394564,1.266225,100.0,100.0
2019/02/12,1.495709,2.238096,1.287808,100.0,100.0
2019/02/13,1.635937,1.925205,1.279167,100.0,100.0
2019/02/14,1.647838,1.925205,1.227552,100.0,100.0
2019/02/15,1.498013,1.846113,1.153026,100.0,100.0
2019/02/16,1.488295,1.864666,1.169981,100.0,100.0
2019/02/17,1.516665,1.869309,1.150910,100.0,100.0
2019/02/18,1.461362,1.820662,1.163618,100.0,100.0
2019/02/19,1.446187,1.730981,1.214713,100.0,100.0
2019/02/20,1.516119,1.809117,1.240418,100.0,100.0
2019/02/21,1.515528,1.841481,1.199767,100.0,100.0
2019/02/22,1.545817,2.173365,1.197634,100.0,100.0
2019/02/23,1.461510,1.758483,1.197634,100.0,100.0
2019/02/24,1.730450,2.500573,1.289971,100.0,100.0
2019/02/25,2.718394,3.433700,2.238096,100.0,100.0
2019/02/26,2.033415,2.813616,1.628604,100.0,100.0
2019/02/27,2.004644,2.223680,1.802196,100.0,100.0
2019/02/28,1.532186,1.894889,1.277008,100.0,100.0
2019/03/01,1.408268,1.567761,1.285647,100.0,100.0
2019/03/02,1.885787,2.310442,1.394564,100.0,100.0
2019/03/03,1.437506,1.908869,1.174228,100.0,100.0
2019/03/04,1.175537,1.218990,1.123470,100.0,100.0
2019/03/05,1.228511,1.694443,1.098254,100.0,100.0
2019/03/06,1.288855,1.676231,1.010881,100.0,100.0
2019/03/07,1.106604,1.904207,1.035702,100.0,100.0
2019/03/08,1.107328,1.189113,1.006756,100.0,100.0
2019/03/09,1.043515,1.106647,0.965680,100.0,100.0
2019/03/10,1.206008,1.721833,1.062721,100.0,100.0
2019/03/11,1.329133,1.728693,1.068976,100.0,100.0
2019/03/12,1.336974,2.291106,1.144566,100.0,100.0
2019/03/13,1.315777,1.855385,1.110848,100.0,100.0
2019/03/14,1.282293,1.538626,1.054394,100.0,100.0
2019/03/15,1.240850,1.458501,1.037776,100.0,100.0
2019/03/16,1.219482,1.440808,1.008818,100.0,100.0
2019/03/17,1.254765,1.781464,1.073149,100.0,100.0
2019/03/18,1.247283,1.438600,1.008818,100.0,100.0
2019/03/19,1.266316,1.502914,1.004694,100.0,100.0
2019/03/20,1.349273,1.710410,1.060638,100.0,100.0
2019/03/21,1.434154,1.993163,1.073149,100.0,100.0
2019/03/22,1.902272,3.311437,1.197634,100.0,100.0
2019/03/23,1.791028,2.453994,1.458501,100.0,100.0
2019/03/24,1.548494,2.310442,1.324661,100.0,100.0
2019/03/25,1.662369,2.156643,1.431977,100.0,100.0
2019/03/26,1.351312,2.271802,1.119259,100.0,100.0
2019/03/27,1.163548,1.249009,1.102449,100.0,100.0
2019/03/28,1.140348,1.377023,1.039850,100.0,100.0
2019/03/29,1.246589,2.446655,1.079415,100.0,100.0
2019/03/30,1.206034,1.368269,1.081505,100.0,100.0
2019/03/31,1.508215,2.078148,1.305126,100.0,100.0
2019/04/01,1.297972,1.786067,0.975918,100.0,100.0
2019/04/02,1.211872,2.230885,1.002633,100.0,100.0
2019/04/03,1.916382,2.705989,1.552060,100.0,100.0
2019/04/04,1.928274,2.510401,1.536390,100.0,100.0
2019/04/05,2.086398,3.635816,1.485118,100.0,100.0
